,Florida,California,Texas,New York,North Carolina,Massachusetts,Virginia,Colorado,New Jersey,Arizona,Utah,Georgia,the District of Columbia,Michigan,Washington,Connecticut,South Carolina,Iowa,Pennsylvania,Maryland,Idaho,Louisiana,Illinois,Wyoming,Nevada,Vermont,Oregon,Kansas,Rhode Island,Minnesota,New Hampshire,Indiana,Missouri,Alabama,Montana,Ohio,Nebraska,West Virginia,Mississippi,Delaware,Tennessee,New Mexico,Maine,Wisconsin,Oklahoma,Hawaii,Arkansas,North Dakota,Kentucky,South Dakota,Alaska
2000-11-01,115001.96645667953,211992.37753687918,117136.51191610133,162336.03213626408,136197.341841058,221626.61789420983,134014.53628832684,198924.29731650618,184258.8089734754,143346.41964007882,178914.2046564689,135733.80208752552,176265.21491848057,125353.57720358839,186171.23750499022,176232.87815361298,120887.92580057966,96161.3294655388,105648.4727769255,160050.85631347212,129399.02550497158,115250.21670851356,138565.23521793445,,162170.0938567732,123423.95987792076,159141.83240277236,93721.8272281225,145026.2364336479,139783.6990084953,148823.62593966757,101390.9067614146,105104.88030769066,105015.20833796293,,111374.50714762729,120420.7065103801,77564.29520876176,94534.9108670582,158589.96700672727,117156.78540834365,,116146.65149459204,127373.32234863455,88173.66332474555,203865.7553745534,93549.47198092235,,94997.16722882225,108403.5445898241,139200.2463010064
2000-12-01,115746.40634871686,214381.27620582734,117520.57007787439,163604.79023443663,136799.99432839162,224669.89236354106,134953.63583836504,200950.13172613634,185712.0509589533,143993.86306462326,179451.1488635715,136718.1465101896,176629.63081618515,126227.42439866847,186997.7921628006,177522.38284804276,121343.63845659106,96661.89705337853,106145.40085387016,160943.7126228078,129651.35894849485,115901.11896866851,139466.1015280762,,162891.59611285862,124330.41435042043,159603.7722132761,94168.70118183887,146151.24149157162,141432.80403953828,150704.6722731029,102061.79139573372,105840.19816061133,105479.55858138396,,111843.90859473846,120764.10619463095,78168.57385775629,95210.65559082676,159382.93427406324,117584.58427416573,,117239.26531531398,127978.8443144202,88582.72847045539,204647.82053101147,94062.04079496422,,95459.30019034073,108300.14017179911,139547.5932347079
2001-01-01,116427.10127610964,216402.16691376155,117749.87023308186,164821.71764126778,137422.38129345243,227419.82268378793,135899.30784045087,202981.91734017807,187072.22752357068,144624.3848891429,179951.02771491915,137673.68245128836,177440.54214656563,127053.15242418276,187862.55263566106,178652.22531750938,121874.44268858003,97001.53335324045,106635.90175312695,161680.61860869903,130060.41291653708,116622.88039460823,140112.7555323356,,163631.29912870753,125135.31871417316,160124.5578877246,94724.56352881344,147255.46538222212,142919.70853122484,152417.0868907452,102545.69826007132,106388.7782864105,105998.25656771455,,112279.44363378531,121288.4686792213,78903.81470993518,95825.71836602344,160262.05643848077,118073.29660968696,,118583.97719761374,128533.42290495761,89037.98680318143,205302.7432785154,94668.08044317295,,95996.88219987061,108362.25047425542,142003.3622698374
2001-02-01,117103.37241337368,218400.41255724218,117715.22274741065,165834.523791072,137886.49860096688,229930.8169734057,136738.11986281723,204896.02444688926,188572.74617472303,145253.31619133518,180238.56242141803,138495.98055380938,178271.09511195493,127690.83663027167,188717.81777985673,179590.44212257062,122349.36715052919,97307.96086090787,107084.37949658935,162350.46596028513,130475.0876011541,117252.46621274884,140760.6977376001,,164416.22619528967,126035.48748468426,160565.73854532314,95366.04835503806,148360.9257113071,144250.30522856142,154249.97660766728,102711.37823241676,106768.23546520753,106437.54092159221,,112625.94642468484,121640.25563032429,79363.95462385636,96195.52743165397,160979.99385320395,118460.41311331802,,119828.46978252164,129075.3432319427,89479.79753755634,205950.34718747332,95058.26353538642,,96487.32436841553,108585.54107962312,145889.69231047464
2001-03-01,117810.32359672796,220649.60283215178,117485.7749075987,166748.00799332466,138261.86079968963,232405.78193966308,137602.39383028436,206836.53209300767,190063.08658186428,145885.2367588963,180411.25816806205,139198.22544086212,179443.5416005623,128212.08174838987,189522.44335598103,180633.86988489865,122841.13559682314,97503.47124741354,107535.45599840373,162919.878417117,131045.90145691631,117858.82515989845,141463.1026233359,,165271.10482638679,126978.2741387344,161034.55743465258,96041.07080596713,149538.89264346415,145571.89278733532,155975.10360108744,102709.97286373627,107188.26377477999,106799.54766461458,,112947.72572608075,119191.20476468268,79711.07105858407,96421.96419741191,161761.94688651184,118785.02138845531,,120993.75416712508,129617.12505010287,89862.58943322813,206530.32586182546,95351.33172642766,,96954.89413713528,109043.87038488382,150850.93711718413
2001-04-01,118645.40393130652,223446.16571878863,117351.34795328077,167701.722602248,138539.33407050616,234962.87946369406,138505.8006867509,208725.71617561692,191637.8658600344,146527.66922024055,180590.69877469586,139845.5505134793,181228.32508066713,128668.80086328097,190309.39044645385,181839.3351899425,123177.93806199175,97773.59358726417,108019.45568151768,163686.28854318243,131595.51659248924,118387.62676829878,142178.77445177376,,166125.79932300732,127925.36752786425,161443.80848226658,96623.6232950344,150908.5322964451,147003.14476227583,157754.5757223765,102663.97903590639,107728.62925902793,107060.55927059706,,113266.35746787324,115694.64090088417,79873.82900398847,96611.63092464923,162507.5817996202,119042.9468893328,,121911.79962811987,130214.7159008654,90222.1926088798,207222.95610371768,95533.58950600967,,97374.1679991358,109456.2279797123,154606.08374890138
2001-05-01,119560.06876360967,226248.5183890798,117396.48275541754,168755.01071212895,138862.17653435667,237604.77611841136,139505.0571630351,210611.15175115116,193192.12008277662,147179.76794636037,180692.74138074237,140560.64213425142,183265.62499806515,129222.86478690983,190989.68295227468,183196.99710751753,123558.10530990195,98082.85674327845,108482.65336401113,164583.3466780282,132133.3337312982,118870.74353261861,143030.46215687227,,167035.66017992815,128800.10432310781,161903.48374808294,97167.69088811464,152365.5702479386,148465.6665338647,159740.7669746211,102867.08678974702,108369.98069154908,107318.98862048103,,113612.05051133638,112076.1817655345,80192.3120735267,96952.48442970194,163280.8326602749,119340.61280393241,,123009.24232893459,130832.08102483362,90537.32557856406,208224.10136945095,95867.42645186139,,97812.29987542263,110059.71128302433,157717.79542767777
2001-06-01,120514.83138373432,228794.22395615457,117533.34151726712,169917.58743854842,139186.90497971114,240378.76441351682,140504.52508420544,212295.8316406682,194923.59232004583,147837.51338434467,180863.54705090972,141274.6718698948,185231.0702675295,129788.50538891618,191685.90760490345,184565.46595195323,123961.89946946509,98477.33357583485,108954.25005532095,165663.17614048047,132533.38610727145,119312.84261337575,143928.01488826066,,167917.98490744946,129625.45202056762,162382.80271582285,97694.63253073006,153868.40571529654,149929.54303239202,161866.4302650784,103227.5240044272,109071.24523563516,107585.08231000719,,113952.37652117868,111165.36830141023,80515.21722208156,97314.24799298083,164040.08603867245,119631.22374983678,,124220.21491265086,131483.2928094853,90849.97898287322,209361.63621788495,96246.69312371105,,98278.95830072789,110370.61261687831,160330.77224702793
2001-07-01,121541.22898447442,231177.57913243302,117694.1089628137,171138.1197192108,139496.86878563336,243320.4129480685,141580.6785152837,213957.25549659904,196788.11731903077,148463.29249021583,181005.54962172298,141986.82714851844,187206.58233410722,130374.90773791824,192344.39625451292,185892.00607302715,124456.4519647516,98876.4365139422,109461.63726838217,166823.76447130498,132943.8081964193,119737.38372856578,144853.9212151873,,168858.18671657954,130472.2306304212,162943.98283618074,98211.21224133518,155479.70779057874,151464.8048825107,163993.8096617985,103665.31987614342,109787.71394567004,107886.12958865079,,114332.07913148803,111137.59798493724,80838.03371322999,97614.62480497833,164762.89187482212,119909.75282188178,,125585.07185263961,132176.92496066281,91144.4748731922,210610.43589377185,96683.95182335407,,98744.48028820289,110667.90669683075,162781.67148669696
2001-08-01,122629.14153063606,233473.97746579768,117838.51501152838,172419.31095777167,139849.6143085519,246525.7488253082,142664.7643662391,215593.9226163299,198846.2218337298,149082.15336574413,181281.9555032272,142710.03380839463,189384.3772230645,130996.30668736885,193155.64653438167,187609.35121064135,124860.57482482075,99312.6679545319,110020.56156207625,168103.5385798789,133441.1668131143,120215.65592016722,145987.16891875226,,169817.19585127328,131251.3507361594,163582.37639119584,98695.80772743642,157406.42576045645,153136.6299010158,165937.12818022288,104049.88991758361,110444.92568861014,108153.82862106715,,114753.5590657459,111310.0581596371,81137.24066846042,97955.7950685292,165528.46407479278,120237.76645665918,,126755.46436413126,132907.42743804923,91473.47196050001,211828.64045037623,97047.99411321197,,99155.56447768769,110738.98724810804,164555.3989358479
